Median House  Prices 4TH quarter 2021,,,,,,,,,,Change %,Change %
SUBURB,Oct - Dec 20,Jan - Mar 2021,Apr - Jun 2021,Jul-Aug 21,Oct - Dec 21,No of sales ,No of sales ,No of sales ,No of Sales ,Oct - Dec 20,Jul-Aug 21
,,,,,,Apr - Jun 2021,Jul- Sep 2021,Oct - Dec 2021,YTD,Oct - Dec 21,Oct - Dec 21
,,,,,,,,,,,
BERWICK,706500,790000,824000,820000,907500,249,169,270,"1,213",28.4,10.7
BEVERIDGE,540000,615000,615900,645000,690000,22,23,25,104,27.8,7
BIRCHIP,131300,120000,120000,295000,149000,6,1,7,25,13.5,-49.5
BIRREGURRA,525000,735000,695000,560500,705000,4,4,6,25,34.3,25.8
BITTERN,670000,690000,720000,807500,823700,15,10,11,66,22.9,2
BLACK HILL,530000,512500,563000,510000,635000,14,9,7,59,19.8,24.5
BLACK ROCK,1875000,2450000,2480000,2002500,2805000,13,16,28,103,49.6,40.1
BLACKBURN,1550000,1600000,1638500,1600000,1700000,43,31,57,207,9.7,6.3
BLACKBURN NORTH,1107500,1226500,1276300,1337500,1356000,36,24,45,151,22.4,1.4
BLACKBURN SOUTH,1100000,1260000,1340000,1316000,1367500,45,31,44,188,24.3,3.9
BLACKWOOD,490000,680000,550000,642000,751300,5,2,4,14,53.3,17
BLAIRGOWRIE,1446000,1400000,1402000,1725000,1645000,39,39,55,267,13.8,-4.6
BLIND BIGHT,600000,605000,607000,740000,677500,9,9,6,38,12.9,-8.4
BONBEACH,963800,930000,1170000,1150000,1350000,15,21,23,101,40.1,17.4
BONNIE BROOK,-,-,677000,670000,701000,5,1,1,7,0,4.6
BONNIE DOON,430000,470000,565000,565000,850000,3,0,5,20,97.7,NA
BONSHAW,470000,505000,525000,550000,582500,15,5,6,45,23.9,5.9
BOOLARRA,262500,308000,360000,389500,389500,7,2,6,28,48.4,0
BOORT,172500,180000,255000,190500,365000,11,4,1,25,111.6,91.6
BORONIA,721000,785000,825000,865000,881500,89,50,77,358,22.3,1.9
BOTANIC RIDGE,725000,780500,905000,895000,937500,40,40,43,211,29.3,4.7
BOX HILL,1481300,1578000,1718000,1510000,1640000,15,10,17,78,10.7,8.6
BOX HILL NORTH,1183800,1290000,1220000,1342500,1390000,33,26,47,180,17.4,3.5
BOX HILL SOUTH,1264000,1385000,1520000,1559000,1660500,30,23,44,151,31.4,6.5
BRAYBROOK,689000,727000,770000,772500,793000,39,31,33,180,15.1,2.7
BREAKWATER,407000,485000,514400,580400,585000,6,6,7,28,43.7,0.8
BRIAGOLONG,292000,405700,365500,335000,420000,4,3,4,23,43.8,25.4
BRIAR HILL,925800,940500,1000500,1130000,1035500,12,7,14,55,11.9,-8.4
BRIDGEWATER ON LODDON,350000,331000,389000,410000,240000,2,3,1,12,-31.4,-41.5
BRIGHT,758000,819000,920000,1021300,1187500,23,10,12,94,56.7,16.3
BRIGHTON,3420500,3520000,3606000,3400000,3370000,101,56,85,427,-1.5,-0.9
BRIGHTON EAST,2087500,2125000,2245000,2450000,2356300,72,63,64,357,12.9,-3.8
BROADFORD,465500,510000,477500,502500,610000,22,20,27,114,31,21.4
BROADMEADOWS,556800,568300,595000,590000,618000,43,39,30,164,11,4.7
BROOKFIELD,509000,503500,520000,550000,575000,55,45,72,277,13,4.5
BROOKLYN,750000,836500,880000,902500,850000,13,6,10,44,13.3,-5.8
BROWN HILL,537500,560000,580000,595000,722500,18,16,13,89,34.4,21.4
BRUNSWICK,1115000,1300000,1321000,1352500,1380000,67,64,99,366,23.8,2
BRUNSWICK EAST,1307000,1400000,1452500,1280000,1435000,29,19,32,130,9.8,12.1
BRUNSWICK WEST,1250500,1415000,1385000,1260000,1322000,23,17,47,136,5.7,4.9
BRUTHEN,361000,292500,250000,345000,357000,3,3,3,19,-1.1,3.5
BULLEEN,1052500,1307500,1306500,1340000,1530000,48,32,53,211,45.4,14.2
BUNDALONG,977500,606000,650000,850000,916500,1,1,3,14,-6.2,7.8
BUNDOORA,751000,813000,840000,910000,905000,87,55,136,441,20.5,-0.5
BUNINYONG,548000,680000,600000,720000,665000,17,15,15,79,21.4,-7.6
BUNYIP,540000,565000,650000,723300,720000,14,8,13,69,33.3,-0.4
BURNSIDE,663000,701000,658500,710000,752000,12,13,23,69,13.4,5.9
BURNSIDE HEIGHTS,677500,686000,685000,680000,740000,20,15,21,95,9.2,8.8
BURWOOD,1309000,1395000,1372000,1500000,1475000,55,33,60,219,12.7,-1.7
BURWOOD EAST,1106000,1191000,1301000,1274000,1305000,37,32,41,172,18,2.4
CAIRNLEA,810000,740500,850000,800000,900000,19,17,21,97,11.1,12.5
CALIFORNIA GULLY,330000,369500,397500,430000,452000,22,19,27,126,37,5.1
CAMBERWELL,2057500,2405500,2512500,2650000,2650000,78,55,96,341,28.8,0
CAMPBELLFIELD,547500,610000,590000,600000,618000,12,11,21,61,12.9,3
CAMPBELLS CREEK,642500,622500,500000,615000,717500,7,10,16,57,11.7,16.7
CAMPERDOWN,315000,325000,365000,297500,494300,19,12,28,107,56.9,66.1
CANADIAN,495000,445000,487500,567500,545000,18,10,18,89,10.1,-4
