Median House  Prices 4TH quarter 2021,,,,,,,,,,Change %,Change %
SUBURB,Oct - Dec 20,Jan - Mar 2021,Apr - Jun 2021,Jul-Aug 21,Oct - Dec 21,No of sales ,No of sales ,No of sales ,No of Sales ,Oct - Dec 20,Jul-Aug 21
,,,,,,Apr - Jun 2021,Jul- Sep 2021,Oct - Dec 2021,YTD,Oct - Dec 21,Oct - Dec 21
,,,,,,,,,,,
HEATHCOTE,392500,375000,362500,390000,485000,18,17,13,85,23.6,24.4
HEATHERTON,992500,1040000,1155000,1135000,1242500,10,7,6,52,25.2,9.5
HEATHMONT,930000,1030000,1061000,1079500,1111000,31,30,53,167,19.5,2.9
HEIDELBERG,1320000,1318000,1382500,1425000,1572500,14,13,24,87,19.1,10.4
HEIDELBERG HEIGHTS,800000,960000,1000000,974500,1065000,38,14,27,128,33.1,9.3
HEIDELBERG WEST,740000,730000,780500,885000,850000,25,12,30,111,14.9,-4
HEPBURN,540000,607500,667500,782500,757500,2,5,4,24,40.3,-3.2
HEPBURN SPRINGS,730000,710000,785000,767500,897000,3,4,5,27,22.9,16.9
HERNE HILL,625000,666000,700000,767500,801000,28,14,19,100,28.2,4.4
HEYFIELD,275000,320000,320000,294500,370000,13,14,16,77,34.5,25.6
HEYWOOD,215000,236800,240000,222500,264500,3,8,12,44,23,18.9
HIGHETT,1390000,1496000,1622000,1572500,1600000,46,24,33,184,15.1,1.7
HIGHTON,772000,871500,875500,908500,900100,112,85,125,511,16.6,-0.9
HILLSIDE (MELTON),695000,727500,720000,717500,770000,65,52,68,295,10.8,7.3
HOPETOUN,171000,144500,126000,150000,159000,8,3,5,26,-7,6
HOPPERS CROSSING,560000,545000,580000,600000,609000,179,144,196,773,8.7,1.5
HORSHAM,285000,324500,325000,347500,389000,95,94,119,531,36.5,11.9
HUGHESDALE,1052500,1387700,1409000,1367500,1611000,5,6,27,60,53.1,17.8
HUNTINGDALE,1172000,1402000,1288000,1244000,1295300,5,2,6,23,10.5,4.1
HUNTLY,435000,447500,480000,480000,542500,20,17,22,89,24.7,13
HURSTBRIDGE,840000,860000,943000,1010000,893000,12,9,14,56,6.3,-11.6
INDENTED HEAD,615000,682500,732000,750000,860000,17,11,11,65,39.8,14.7
INGLEWOOD,200000,317500,277500,333800,340000,4,4,7,25,70,1.9
INVERLOCH,690000,842500,900000,855000,1020000,56,39,55,313,47.8,19.3
INVERMAY PARK,550000,667500,655000,642500,800000,9,4,7,31,45.5,24.5
IRONBARK,495000,523800,472500,497500,670000,12,6,8,39,35.4,34.7
IRYMPLE,417800,417500,440000,415000,493700,13,15,20,73,18.2,19
IVANHOE,1640000,1830000,1670000,1781800,2100000,33,20,35,130,28,17.9
IVANHOE EAST,1910000,2237500,2415000,2000000,2502500,17,7,16,57,31,25.1
JACANA,549000,595000,640000,620000,640000,11,9,17,58,16.6,3.2
JACKASS FLAT,420000,447500,440000,486000,532500,18,13,14,80,26.8,9.6
JAN JUC,1140000,1363100,1310000,1440000,1325000,17,17,15,88,16.2,-8
JEERALANG NORTH,248800,265000,267500,289500,316500,10,6,4,39,27.2,9.3
JEPARIT,101500,105000,116300,110000,139500,8,5,10,28,37.5,26.8
JUNCTION VILLAGE,532500,610000,600700,595500,615000,2,4,6,23,15.5,3.3
JUNORTOUN,717500,655000,650000,697500,842500,7,6,8,38,17.4,20.8
KALIMNA,388000,385000,476300,509000,477500,10,10,16,66,23.1,-6.2
KALKALLO,556700,590000,620000,607500,645000,47,50,43,230,15.9,6.2
KALLISTA,690000,799500,900000,838500,1035000,5,2,9,21,50,23.4
KALORAMA,765000,827500,780000,848500,802500,7,4,6,31,4.9,-5.4
KANGAROO FLAT,405000,390000,465000,466000,507800,59,58,68,300,25.4,9
KANGAROO GROUND SOUTH,1025000,1108000,1177500,1172500,1275000,4,3,13,34,24.4,8.7
KANIVA,174000,174000,168000,211500,165000,7,4,9,26,-5.2,-22
KATANDRA WEST,180000,262500,262500,335000,387500,0,1,6,10,115.3,15.7
KEALBA,600000,650000,645000,722500,665000,20,6,11,52,10.8,-8
KEILOR,895500,990000,1100000,1081000,1070300,21,20,38,112,19.5,-1
KEILOR DOWNS,681300,754000,725000,820000,850000,21,23,33,123,24.8,3.7
KEILOR EAST,870000,922500,923500,1000000,1060000,68,47,99,323,21.8,6
KEILOR LODGE,757500,838000,820000,895000,710000,1,4,3,16,-6.3,-20.7
KEILOR PARK,735000,775000,793300,795000,890000,18,8,15,60,21.1,11.9
KENNINGTON,429000,510000,480000,550000,590000,34,23,34,143,37.5,7.3
KENSINGTON,1200000,1017000,1180000,1254000,1192500,35,30,52,184,-0.6,-4.9
KERANG,231300,240000,238500,235000,240000,32,33,30,145,3.8,2.1
KEW,2300000,2967500,2800000,2300000,2580000,94,31,107,388,12.2,12.2
KEW EAST,1732500,1970000,2120000,1650000,1860000,3,1,2,14,7.4,12.7
KEW NORTH,1770000,2041000,2021000,2100000,2032500,18,9,26,94,14.8,-3.2
KEYSBOROUGH,798400,835000,854500,1050000,972000,108,75,115,482,21.7,-7.4
KIALLA,505000,512000,525000,630000,595000,44,25,32,179,17.8,-5.6
KILCUNDA,781000,842500,1210000,840000,1250000,2,6,5,27,60.1,48.8
KILLARA (WODONGA),502000,478000,521000,605000,630000,13,13,15,62,25.5,4.1
KILMORE,495000,517500,549000,510000,620000,44,35,43,201,25.3,21.6
KILSYTH,700000,695000,763000,838000,860000,40,25,46,215,22.9,2.6
KILSYTH SOUTH,880000,895000,920000,953500,1181000,7,5,12,38,34.2,23.9
KINGLAKE,600000,665000,585000,600000,715000,7,4,6,28,19.2,19.2
KINGS PARK,562500,565400,605000,601000,632500,27,25,26,128,12.4,5.2
KINGSBURY,766300,790000,857500,817500,897500,7,8,18,48,17.1,9.8
KINGSVILLE,1030000,1175000,1220000,1190000,1435000,23,16,18,87,39.3,20.6
KNOXFIELD,842500,930000,967500,1050000,1020000,38,11,26,120,21.1,-2.9
KOO WEE RUP,600000,600000,590500,610000,635000,16,16,18,95,5.8,4.1
KOONDROOK,254000,322500,270000,260000,335500,5,1,8,23,32.1,29
KOOYONG,3420000,5625000,3150000,3150000,3150000,3,0,0,10,NA,NA
KOROIT,445000,505000,512500,450000,600000,8,13,11,56,34.8,33.3
KORUMBURRA,407500,480000,399500,515000,550000,32,20,39,157,35,6.8
KURUNJANG,432500,441500,460000,516000,515000,54,48,66,274,19.1,-0.2
KYABRAM,285000,279000,300000,295000,360000,36,27,38,167,26.3,22
KYNETON,645500,755000,726300,725000,845000,34,27,33,150,30.9,16.6
LAKE BOGA,319500,265000,282500,475000,337500,2,4,6,19,5.6,-28.9
LAKE BOLAC,184000,184000,280000,280000,276000,3,0,2,11,50,NA
LAKE GARDENS,440000,635000,757500,675000,710000,6,13,17,61,61.4,5.2
LAKE TYERS BEACH,485000,479000,440000,512500,625000,5,6,9,41,28.9,22
LAKE WENDOUREE,1230000,1212500,1252000,1198800,1295000,13,11,9,68,5.3,8
LAKES ENTRANCE,390000,376000,443800,435000,460000,52,32,41,232,17.9,5.7
LALOR,645000,675800,682500,723500,731300,90,63,90,369,13.4,1.1
LANCEFIELD,535000,586300,687500,717500,672500,12,11,9,54,25.7,-6.3
LANG LANG,550000,540000,660000,637500,691300,15,16,22,74,25.7,8.4
LANGWARRIN,688800,717500,818000,856500,850000,88,65,95,444,23.4,-0.8
LARA,507500,680000,630000,692500,720000,27,10,25,91,41.9,4
LARA LAKE,586500,600000,670500,671500,702500,47,48,60,248,19.8,4.6
LAUNCHING PLACE,592500,694000,665000,718000,716000,9,2,13,40,20.8,-0.3
LAVERTON,567500,577500,590000,620000,640000,29,19,31,141,12.8,3.2
LAVERTON SOUTH,656500,696500,708000,730000,775000,31,19,37,147,18.1,6.2
LEITCHVILLE,145000,220000,262000,146000,222500,1,5,2,12,53.4,52.4
LENEVA,485000,486000,540000,617500,597500,13,8,10,51,23.2,-3.2
LEONGATHA,475000,505000,516000,495000,547500,36,37,26,179,15.3,10.6
LEOPOLD,542000,575000,650000,650500,715000,68,61,72,345,31.9,9.9
LILYDALE,757000,802500,828800,860000,916500,68,45,88,318,21.1,6.6
LINDENOW,292500,306000,306000,465000,450000,0,4,1,13,53.8,-3.2
LISMORE,182500,180000,163000,177500,177500,4,4,0,15,NA,NA
LOCH SPORT,261300,304500,320000,312300,345500,27,18,26,144,32.2,10.6
LONG GULLY,340000,347500,403000,399000,403000,24,24,24,122,18.5,1
LONGWARRY,425000,474000,505000,500000,549000,32,17,22,105,29.2,9.8
LORNE,1450000,1650000,1495000,2252500,1830000,7,8,11,57,26.2,-18.8
LOVELY BANKS,567500,636300,675000,715000,673500,8,6,6,36,18.7,-5.8
LOWER PLENTY,860000,855300,1220000,1445000,1324000,14,4,10,38,54,-8.4
LUCAS,505000,565000,535000,670000,600000,19,27,25,137,18.8,-10.4
LUCKNOW,280800,302500,359000,395000,410000,5,5,3,27,46,3.8
LYNBROOK,700000,765000,711000,760000,732000,17,21,19,112,4.6,-3.7
LYNDHURST,716000,808100,757000,880000,871500,45,27,52,198,21.7,-1
LYSTERFIELD,1047200,1115500,952000,1170000,1248000,32,19,22,120,19.2,6.7
LYSTERFIELD SOUTH,1430000,1580000,1007000,1800000,1745000,1,2,7,17,22,-3.1
MACEDON,920000,1045000,1185000,1160000,1000000,8,3,5,31,8.7,-13.8
MACLEOD,981300,1160000,1078800,1175500,1237500,26,18,30,123,26.1,5.3
MADDINGLEY,527500,560000,544500,572500,595000,26,24,33,146,12.8,3.9
MAFFRA,322500,315000,322500,360000,382500,32,34,34,169,18.6,6.3
MAIDEN GULLY,646300,640000,712000,760000,755000,19,17,17,94,16.8,-0.7
MAIDSTONE,840000,795000,880000,907500,845000,31,18,35,135,0.6,-6.9
MALDON,578000,560000,640000,755000,624500,21,15,10,79,8,-17.3
MALLACOOTA,482500,520000,365000,350800,592000,7,10,13,54,22.7,68.8
MALMSBURY,462500,722500,625000,505000,790000,5,2,15,28,70.8,56.4
MALVERN,3230000,2645000,2850000,2925000,3505000,36,30,49,191,8.5,19.8
MALVERN EAST,1970500,2065000,2035000,1980000,2322500,79,50,90,352,17.9,17.3
MAMBOURIN,-,623000,560000,580000,627500,2,7,10,20,0,8.2
MANIFOLD HEIGHTS,785000,923000,880000,950500,964800,15,6,10,63,22.9,1.5
MANOR LAKES,600000,570000,595500,600000,626000,80,61,58,332,4.3,4.3
MANSFIELD,520000,590000,589000,610000,760000,21,29,26,155,46.2,24.6
MARENGO,750000,1000000,1230000,980000,1100000,3,2,1,14,46.7,12.2
MARIBYRNONG,908000,1222500,980000,1165000,1285000,39,16,33,166,41.5,10.3
MARLO,405000,370000,482500,352500,565000,6,2,1,18,39.5,60.3
MARONG,465000,462500,530000,605000,650500,8,5,10,46,39.9,7.5
MARSHALL,512000,538800,585000,630000,671300,9,6,8,44,31.1,6.5
MARYBOROUGH,289500,306300,337500,333000,375000,65,49,59,281,29.5,12.6
MARYSVILLE,466300,670000,695000,615000,645000,3,1,4,23,38.3,4.9
MCCRAE,1300000,1150000,1125000,1250000,1080000,28,22,29,131,-16.9,-13.6
MCKENZIE HILL,549000,637000,722500,712500,750000,6,4,7,30,36.6,5.3
MCKINNON,1850000,1827500,1980000,1960500,2050000,25,10,18,88,10.8,4.6
MCLOUGHLINS BEACH,317000,250000,280000,365000,275000,3,3,3,21,-13.2,-24.7
MEADOW HEIGHTS,500000,520000,557500,550000,579000,44,37,54,194,15.8,5.3
MELTON,396500,430000,445000,457500,496300,40,45,58,228,25.2,8.5
MELTON SOUTH,435000,439000,451000,455000,495000,68,55,83,359,13.8,8.8
MELTON WEST,490000,500000,488000,505500,532000,60,42,77,276,8.6,5.2
MENTONE,1062500,1352500,1365000,1431000,1410000,45,20,41,175,32.7,-1.5
MENZIES CREEK,915000,750500,960000,990000,1225000,2,5,5,17,33.9,23.7
MERBEIN,246000,285000,215300,195000,299300,12,15,10,62,21.6,53.5
MERINDA PARK,535000,565000,589000,640000,665000,16,11,14,68,24.3,3.9
MERNDA,587500,625000,651000,655000,700000,118,112,132,579,19.1,6.9
MERRIJIG (MANSFIELD),667500,900000,637500,940000,908500,2,5,6,17,36.1,-3.4
METUNG,355000,467000,675000,560000,565000,9,16,17,71,59.2,0.9
MICKLEHAM,575000,600000,620000,661000,660000,134,94,153,626,14.8,-0.2
MIDDLE PARK,2875000,3400000,2819000,2710000,3267500,16,16,20,84,13.7,20.6
MILDURA,355000,359000,355000,382500,410300,202,178,230,"1,005",15.6,7.3
MILL PARK,691000,720000,725000,790000,801800,104,53,120,437,16,1.5
MILLGROVE,430500,475000,540000,490000,618800,17,7,12,61,43.7,26.3
MINERS REST,475500,445000,525000,525000,600000,17,17,25,100,26.2,14.3
MINYIP,122500,95000,172500,124500,244500,2,2,4,12,99.6,96.4
MIRBOO NORTH,402500,435500,525000,512500,493000,8,8,7,47,22.5,-3.8
MITCHAM,1135000,1206500,1214000,1221000,1235000,54,29,60,221,8.8,1.1
MOE,260000,280000,301000,320000,340000,61,57,59,295,30.8,6.3
MONBULK,720000,740000,745000,598500,852500,13,2,12,62,18.4,42.4
MONT ALBERT,2204400,1924000,2261300,2730000,2800000,10,7,20,55,27,2.6
MONT ALBERT NORTH,1437000,1429000,1600000,1763000,1530000,33,13,29,111,6.5,-13.2
MONTMORENCY,911000,930000,1178500,1161000,1260000,20,19,35,140,38.3,8.5
MONTROSE,741000,787800,825500,927000,890000,30,15,24,125,20.1,-4
MOONEE PONDS,1332500,1590000,1512000,1490000,1570000,39,47,61,228,17.8,5.4
MOORABBIN,1160000,1274500,1318000,1377500,1455000,24,16,35,114,25.4,5.6
MOOROOLBARK,730000,771100,823000,852500,891000,105,61,113,455,22.1,4.5
MOOROOPNA,310000,265000,317500,361500,370000,58,40,44,221,19.4,2.4
MORDIALLOC,1282500,1320000,1500000,1291800,1502500,23,18,26,103,17.2,16.3
MORNINGTON,955000,1005000,1112500,1045000,1145000,120,106,128,654,19.9,9.6
MORTLAKE,312000,277000,290500,350000,365000,12,6,9,55,17,4.3
MORWELL,225000,235000,266500,275000,317500,120,121,100,603,41.1,15.5
MOUNT BEAUTY,355500,411000,435000,535000,565000,7,4,5,40,58.9,5.6
MOUNT CLEAR,425000,505000,470000,550000,566000,17,16,13,78,33.2,2.9
MOUNT DANDENONG,927500,842000,785000,930000,915000,7,5,5,32,-1.3,-1.6
MOUNT DUNEED,610000,625000,705000,769000,805000,34,41,28,186,32,4.7
MOUNT EGERTON,344000,330000,577800,580000,450000,2,6,1,12,30.8,-22.4
MOUNT ELIZA,1450000,1631500,1650000,1700000,1740000,109,71,119,534,20,2.4
MOUNT EVELYN,708000,807500,778000,850000,866300,30,15,41,163,22.4,1.9
MOUNT HELEN,514000,600000,593000,655000,617500,10,10,14,67,20.1,-5.7
MOUNT MACEDON,1050000,2200000,1575000,960000,1701000,7,2,8,27,62,77.2
MOUNT MARTHA,1545000,1675000,1935000,1985000,2100000,27,12,31,157,35.9,5.8
MOUNT PLEASANT,420000,420000,460000,511300,525000,9,16,14,66,25,2.7
MOUNT WAVERLEY,1261500,1430000,1525000,1555500,1552500,125,92,145,562,23.1,-0.2
MULGRAVE,903000,955000,990000,1040000,1065000,83,51,95,365,17.9,2.4
MURRUMBEENA,1375000,1615000,1635000,1676500,1700000,13,20,31,116,23.6,1.4
MURTOA,129000,128000,133000,222300,159500,10,3,6,28,23.6,-28.2
MYRTLEFORD,385000,430000,501000,580000,606000,17,7,20,74,57.4,4.5
NAGAMBIE,440500,492500,540000,465000,650000,11,11,16,56,47.6,39.8
NARRE WARREN,623500,642000,692500,720000,740000,116,91,132,614,18.7,2.8
NARRE WARREN NORTH,1200000,1201000,1440000,1402500,1450000,16,12,17,74,20.8,3.4
NARRE WARREN SOUTH,685000,715000,740000,760000,815500,133,95,130,599,19.1,7.3
NATHALIA,262000,292500,280000,262500,242500,14,8,8,57,-7.4,-7.6
NEERIM SOUTH,455000,505000,647500,470000,570000,6,7,3,30,25.3,21.3
NELSON,190000,270000,355000,399000,402500,4,3,2,19,111.8,0.9
NERRINA,665000,602500,595000,530000,642500,3,3,8,29,-3.4,21.2
NEW GISBORNE,802000,768500,752500,725000,945000,2,7,7,32,17.8,30.3
NEWBOROUGH,315000,350000,345000,365000,389000,37,31,38,172,23.5,6.6
NEWCOMB,525000,520000,568500,590000,665000,22,29,22,118,26.7,12.7
NEWHAVEN,656500,825000,669000,669000,1205300,1,0,2,12,83.6,NA
NEWINGTON,820000,797000,897500,618800,725000,10,10,13,50,-11.6,17.2
NEWLANDS ARM,464000,605000,475000,479000,699500,3,7,4,25,50.8,46
NEWPORT,1125000,1150000,1333500,1408800,1310000,56,26,69,258,16.4,-7
NEWSTEAD,672500,525000,539000,515000,648800,3,3,4,15,-3.5,26
NEWTOWN (GREATER GEELONG),970000,963500,1070000,1362500,1280000,51,36,59,259,32,-6.1
NHILL,135000,140000,200000,197500,153000,20,12,13,76,13.3,-22.5
NICHOLS POINT,550000,540000,540000,381000,525000,0,2,5,14,-4.5,37.8
NIDDRIE,1150000,1152500,1125000,1295000,1301000,32,23,36,152,13.1,0.5
NOBLE PARK,725000,752000,760000,735000,770000,81,41,65,294,6.2,4.8
NOBLE PARK NORTH,672500,720000,740000,750000,790000,33,33,29,138,17.5,5.3
NORLANE,375800,420000,445000,473500,470000,50,60,70,295,25.1,-0.7
NORTH BENDIGO,410000,410100,470500,485000,477800,24,25,30,122,16.5,-1.5
NORTH GEELONG,502500,635000,542500,650000,636000,14,11,12,79,26.6,-2.2
NORTH MELBOURNE,1194000,1315000,1440000,1045000,1397500,23,15,38,102,17,33.7
NORTH SHORE,615000,580000,660000,601000,730000,3,3,6,18,18.7,21.5
NORTH WONTHAGGI,422000,449500,529500,635000,605000,28,26,25,129,43.4,-4.7
NORTHCOTE,1423500,1587000,1657800,1748500,1695000,56,44,96,329,19.1,-3.1
NOTTING HILL,981000,980000,1167500,1282000,1163000,4,3,10,23,18.6,-9.3
NUMURKAH,237300,315000,305000,302500,310000,37,22,32,148,30.7,2.5
NUNAWADING,1115000,1143000,1283000,1302500,1261500,38,20,31,144,13.1,-3.1
NYAH WEST,130000,165000,245000,206800,130000,2,6,4,19,0,-37.1
OAK PARK,955000,965000,1025000,1161000,1235500,28,20,33,118,29.4,6.4
OAKLEIGH,1350500,1311000,1421000,1240000,1462500,19,14,16,71,8.3,17.9
OAKLEIGH EAST,1000000,1122500,1260000,1184000,1150000,5,6,17,40,15,-2.9
OAKLEIGH SOUTH,1049000,1159000,1100000,1218900,1200000,24,25,35,124,14.4,-1.5
OCEAN GROVE,840000,885000,905500,1000000,1150000,104,115,109,596,36.9,15
OFFICER,581000,623000,640000,650000,690000,165,100,125,667,18.8,6.2
OFFICER SOUTH,580000,580000,717500,682500,703000,2,4,5,14,21.2,3
OLINDA,815000,1000500,1190000,910000,1125000,4,3,7,27,38,23.6
OMEO,295000,270000,260000,339000,570000,3,5,2,15,93.2,68.1
ORBOST,241000,257500,230000,235000,249000,22,15,13,104,3.3,6
ORMOND,1515000,1810000,1825000,2080000,2072500,20,11,22,85,36.8,-0.4
OSBORNE,875000,925000,1055000,1300000,1250000,27,19,35,157,42.9,-3.8
OUYEN,140000,144000,132500,140500,265000,8,10,6,51,89.3,88.6
PAKENHAM,543000,572000,585000,602000,635000,391,327,360,"1,741",16.9,5.5
PARADISE BEACH,234500,271000,297500,350000,375900,6,8,2,32,60.3,7.4
PARK ORCHARDS,1610000,1750000,1752000,1822500,2260000,7,7,11,45,40.4,24
PARKDALE,1215000,1500000,1412500,1527500,1599000,37,37,52,188,31.6,4.7
PARKVILLE,2440000,1546000,2200000,1705000,2430000,7,5,9,30,-0.4,42.5
PASCOE VALE,972500,1055000,1050000,995000,1062500,45,28,58,198,9.3,6.8
PASCOE VALE SOUTH,1075000,1240000,1205000,1315000,1351000,31,15,31,124,25.7,2.7
PATTERSON GARDENS,970000,1145000,1040900,1400000,1255000,8,1,8,33,29.4,-10.4
PATTERSON LAKES,1128000,1290000,1012500,1430000,1500000,30,19,23,124,33,4.9
PAYNESVILLE,392500,420000,455000,450000,490000,40,36,51,221,24.8,8.9
PEARCEDALE,645000,720000,870000,875000,934000,12,9,12,61,44.8,6.7
PENSHURST,227500,190000,180000,172500,172500,5,2,0,14,NA,NA
PLENTY,1203800,1670000,1167500,1380000,1725000,2,3,7,21,43.3,25
POINT COOK,694500,710000,729000,716500,770000,232,170,262,"1,057",10.9,7.5
POINT LONSDALE,880000,1015000,1431200,1327500,1530000,25,24,20,142,73.9,15.3
POOWONG,412500,487500,420000,670000,670000,7,1,0,14,NA,NA
POREPUNKAH,760000,724000,785000,688000,852500,3,4,3,20,12.2,23.9
PORT ALBERT,275000,359100,397500,450000,560500,4,3,4,19,103.8,24.6
PORT FAIRY,705000,892000,800000,1235000,1000000,15,15,21,110,41.8,-19
PORT MELBOURNE,1592500,1773500,1770000,1651000,1905000,56,23,52,224,19.6,15.4
PORT WELSHPOOL,315000,455000,455000,435000,435000,5,4,0,20,NA,NA
PORTARLINGTON,675000,765000,820000,875000,922500,29,27,24,168,36.7,5.4
PORTLAND,315000,330000,370000,360000,415000,71,56,54,320,31.7,15.3
PORTLAND NORTH,465000,589000,370000,370000,560000,3,0,4,17,20.4,NA
PORTSEA,2850000,3660000,2675000,3765000,5107500,14,10,12,85,79.2,35.7
PRAHRAN,1688500,1750000,1900000,1767500,1855000,35,18,55,195,9.9,5
PRESTON,1080000,1155000,1200000,1342500,1318000,87,62,95,400,22,-1.8
PRINCES HILL,2080500,1970000,1748000,2015000,2550000,8,7,9,35,22.6,26.6
QUARRY HILL,510000,482500,565000,502500,557500,15,7,15,68,9.3,10.9
QUEENSCLIFF,1322500,1550000,1350000,1280000,1250000,8,13,9,57,-5.5,-2.3
RAINBOW,90500,120000,112000,89000,130000,4,5,5,20,43.6,46.1
RAWSON,229300,310000,300000,340000,380000,5,4,5,19,65.8,11.8
RAYMOND ISLAND,383500,422500,560000,560000,655000,9,2,6,29,70.8,17
RED CLIFFS,285000,286000,320300,297500,348900,24,20,22,102,22.4,17.3
REDAN,422500,455000,450000,431000,560000,27,12,24,97,32.5,29.9
RESEARCH,875000,1067500,1228000,1085000,1150000,12,3,13,39,31.4,6
RESERVOIR,810000,891500,915000,970000,980000,185,101,158,737,21,1
RHYLL,797800,786300,780000,790000,940000,7,6,7,34,17.8,19
RICHMOND,1405000,1380000,1461000,1510000,1510000,93,55,141,465,7.5,0
RIDDELLS CREEK,690000,740000,767500,955000,957500,12,7,14,57,38.8,0.3
RINGWOOD,900000,958000,1005000,1018000,1080000,61,37,57,265,20,6.1
RINGWOOD EAST,850000,947500,1120000,1014000,1085500,31,14,46,144,27.7,7.1
RINGWOOD NORTH,1015500,1035000,1200000,1161000,1240000,40,29,53,196,22.1,6.8
RIPPLESIDE,752000,757000,1001000,1237500,1251500,3,6,6,25,66.4,1.1
ROBINVALE,273500,340000,305000,260000,403000,11,5,8,43,47.3,55
ROCHESTER,255000,294000,300000,440900,420000,23,15,19,97,64.7,-4.7
ROCKBANK,460000,545000,540000,571000,610000,22,11,31,102,32.6,6.8
ROMSEY,642500,755000,730000,832500,845000,28,20,29,136,31.5,1.5
ROSANNA,1160000,1283800,1325000,1520000,1416500,27,17,34,123,22.1,-6.8
ROSEBUD,627000,702500,783800,800000,827500,83,62,76,386,32,3.4
ROSEBUD SOUTH,624400,822500,947500,960000,1153000,22,30,32,184,84.7,20.1
ROSEDALE,247500,370000,350000,377500,297500,7,12,2,46,20.2,-21.2
ROWVILLE,867500,907000,953400,1065000,1122500,145,88,118,556,29.4,5.4
ROXBURGH PARK,580000,580000,625000,606500,640000,101,60,97,413,10.3,5.5
RUSHWORTH,239800,320000,382500,221800,302000,6,4,9,36,26,36.2
RUTHERGLEN,375000,360000,400000,351000,455000,17,9,17,65,21.3,29.6
RYE,902000,951900,1053500,1205000,1164000,116,82,116,573,29,-3.4
SAFETY BEACH,858000,945000,1060000,1360000,1300000,32,27,55,223,51.5,-4.4
SAILORS GULLY,310000,336000,379800,467500,472600,9,4,3,25,52.5,1.1
SALE,361500,370000,392500,423800,461500,122,86,100,518,27.7,8.9
SAN REMO,698000,790000,865000,677000,1075000,13,7,8,60,54,58.8
SANCTUARY LAKES,650000,692500,692000,717500,740000,157,102,172,684,13.8,3.1
SANDHURST,802500,935000,945000,930000,970000,31,25,31,156,20.9,4.3
SANDRINGHAM,1852500,2065000,2500000,2390000,2412500,31,23,34,157,30.2,0.9
SANDY POINT,612000,760800,650000,618000,780000,7,2,5,30,27.5,26.2
SASSAFRAS,755000,812500,815000,890000,968000,5,3,6,25,28.2,8.8
SAWMILL SETTLEMENT,550000,498500,542000,635000,515000,4,7,4,24,-6.4,-18.9
SCORESBY,816500,890000,960000,930000,1056000,25,17,21,94,29.3,13.5
SEA LAKE,184000,166000,112500,117500,115000,6,5,7,23,-37.5,-2.1
SEABROOK,681500,710000,700000,730500,750000,23,14,13,83,10.1,2.7
SEAFORD,728000,810000,850000,850000,903000,60,61,76,354,24,6.2
SEAHOLME,940000,1380000,1031000,1120000,1410000,6,7,13,40,50,25.9
SEASPRAY,260000,280000,299000,342500,377000,3,6,6,31,45,10.1
SEBASTOPOL,350000,374000,415000,428000,443500,63,63,64,291,26.7,3.6
SEDDON,1054500,1065000,1210000,1282500,1200000,23,16,23,129,13.8,-6.4
SELBY,722500,888900,790100,1067500,1000000,8,4,3,30,38.4,-6.3
SEVILLE,642500,725000,750000,820000,803300,9,7,12,41,25,-2
SEVILLE EAST,750000,650000,682700,720000,770000,4,3,5,17,2.7,6.9
SEYMOUR,340000,390000,390000,405000,410000,33,20,33,133,20.6,1.2
SHEPPARTON,325000,350000,350000,370000,400000,183,132,182,852,23.1,8.1
SHEPPARTON NORTH,366000,362500,458500,425000,527500,6,6,4,36,44.1,24.1
SHOREHAM,950000,1850000,1412500,1040000,1767500,2,1,7,15,86.1,70
SILVERLEAVES,860000,921800,821500,1782000,1120000,4,2,5,21,30.2,-37.1
SKENES CREEK,800000,895000,931500,860000,1060000,2,5,3,15,32.5,23.3
SKYE,615000,695000,750000,781000,755000,27,22,32,151,22.8,-3.3
SMITHS BEACH,580000,810800,713000,975000,978300,6,5,6,34,68.7,0.3
SMYTHES CREEK,441000,428800,550000,537500,550000,5,4,1,16,24.7,2.3
SMYTHESDALE,435000,375000,552000,540000,511000,3,2,6,13,17.5,-5.4
SOLDIERS HILL,596500,476000,450000,542500,710000,24,14,40,117,19,30.9
SOMERS,1452500,1800000,1550000,1497500,1700000,13,12,21,77,17,13.5
SOMERVILLE,669000,735000,770000,788000,815000,52,36,49,246,21.8,3.4
SORRENTO,1917500,2100000,1935000,2250000,2875500,45,23,40,223,50,27.8
SOUTH DUDLEY,322500,442500,475000,475000,397500,1,0,2,13,23.3,NA
SOUTH GEELONG,810000,960000,1185000,750000,1280000,9,5,2,23,58,70.7
SOUTH KINGSVILLE,1021000,1100000,1000000,1211300,1030000,7,6,7,44,0.9,-15
SOUTH MELBOURNE,1685000,1635000,1700000,1500000,1750000,39,23,38,163,3.9,16.7
SOUTH MORANG,636000,670000,731500,737000,755000,84,57,101,376,18.7,2.4
SOUTH YARRA,2080000,2142500,1888000,2100000,2475000,45,33,63,220,19,17.9
SPOTSWOOD,970000,1029000,1230000,1405000,1227500,10,11,16,56,26.5,-12.6
SPRING GULLY,482500,499800,490500,591300,632500,12,10,20,74,31.1,7
SPRINGVALE,820000,849000,850000,866600,852500,57,26,42,192,4,-1.6
SPRINGVALE SOUTH,750000,777500,817000,777500,830000,14,6,31,92,10.7,6.8
ST ALBANS,600000,640500,680000,685000,712000,130,72,119,523,18.7,3.9
ST ALBANS PARK,520000,548500,573000,581000,659500,17,20,16,88,26.8,13.5
